cluster_names	B1001	B1078	B1080	B761	CGSHi22121	CGSHi22124	CGSHi22421	CGSHi3655	CGSHi6P18H1	CGSHi7P49H1	CGSHiAA	CGSHiBB	CGSHiCC	CGSHiDD	CGSHiEE	CGSHiGG	CGSHiHH	CGSHiII	CGSHiJJ	CGSHiNML20	CGSHiR1838	CGSHiR3021	CGSHiR393	RefHi86028NP	RefHiB10810	RefHiR2846	RefHiR2866	RefHiRdKW20
B1001_1018	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	0
B1001_1016	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0
B1001_1014	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	0
B1001_9	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
B1001_10	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
B1001_1079	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0
B1001_29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B1001_30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B1001_1991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B1001_1992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B1001_44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B1001_46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B1001_47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B1001_48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B1001_51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B1001_52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B1001_55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
